Unnamed: 0,date,from,value,comment
7959,2024-11-12 16:06:00,EQAt_V50zZzQW7hjFtqaj20ZPnN7fp4F5X_cKQWxkt_DMEl9,2.79,2.79 TON Ref#GAYDEMJRGA======
7958,2024-11-12 16:06:09,EQA0-5AAWCsh4XOIH3FqUeYDUBJ-XW61CcDuxg27oFgkPZ1f,2.98,2.98 TON Ref#GAYDEMJRGY======
7957,2024-11-12 16:06:25,EQCw2VcmVunx8aHpxWTihuOQ-_9oREt2WxOAMZRyfBHw3jF3,3.23,3.23 TON Ref#GAYDEMJUGI======
7956,2024-11-12 16:07:00,EQBtM2VvceOWP9Wik5pFDo7t1SUeGF0maiC45FP9bsumH_Pj,3.97,3.97 TON Ref#GAYDEMRTHE======
7954,2024-11-12 16:07:02,EQCHLEhZk00Kf7eNyxO_pqH5LVbDNiezVOi7JQrWR1SYvmvL,0.2,0.2 TON Ref#GAYDEMRSHA======
7953,2024-11-12 16:07:02,EQCefHvk4ErgGvFqFeE_0495FOO1hFPFIpeYC4O-ZKSXLi71,2.53,2.53 TON Ref#GAYDEMRTGI======
7955,2024-11-12 16:07:06,EQBIqjZz0-oL-o7lrkyF6aBSVyZA5Wq8skJIWIenTHOMTSXL,2.61,2.61 TON Ref#GAYDEMZQGM======
7951,2024-11-12 16:07:07,EQCi1XMdZP2fBfTK-O6rsAX3fXEm5iBpjO1D6FDekdUDQit1,3.93,3.93 TON Ref#GAYDEMRRGE======
7950,2024-11-12 16:07:07,EQD1QGpcBYXnpkGv5V1uNYyDPNcRRTxSE1Gw_z-8nj9omeKb,2.63,2.63 TON Ref#GAYDEMZQGE======
7949,2024-11-12 16:07:07,EQDGcoRkTmR5xPInauehYBIbcMieBlBCMemhEY_-GUFZNip9,3.09,3.09 TON Ref#GAYDEMRUGY======
7945,2024-11-12 16:07:10,EQCs6SbNtiSxZfOSiJo-36ltUuXTJOVxBGrPwscD6j54dRbN,3.97,3.97 TON Ref#GAYDEMJRGM======
7952,2024-11-12 16:07:13,EQBjaHIhqntNKIyd_VlZkvSTISZou3ylx88QOji8tclerAgJ,2.8,2.8 TON Ref#GAYDEMRXGQ======
7948,2024-11-12 16:07:16,EQBo2cql_Dpe8vYstDJKP8GhcntYeRNN9nVepGfStCRP82OD,0.69,0.69 TON Ref#GAYDEMZUGA======
7947,2024-11-12 16:07:16,EQBEoCVvx-QOmwYXHctlFwiwAiLNZohGhVybITER1iqKmCa3,3.3,3.3 TON Ref#GAYDEMZTG4======
7946,2024-11-12 16:07:16,EQBHTJVZSECcnS3fgcz0rUSN5rE8GEks5H3CI7WfPdZ_m9tC,2.92,2.92 TON Ref#GAYDEMZUGY======
7944,2024-11-12 16:07:16,EQA4CBOEAEhPsYxDAZ5VswEfB6_g-1HbeBlre3Yy-BSDRWUF,3.9,3.9 TON Ref#GAYDEMZSGQ======
7943,2024-11-12 16:07:16,EQAY-89GJSJFRVoymLWTBhA2JYUPx4PWWd6lPM6hcYLosAPg,2.51,2.51 TON Ref#GAYDEMZTGM======
7942,2024-11-12 16:07:24,EQAwMWov_4kNJ69NPTZvYxnXFMiBzfOAiYG7qyE7nq8DOo3I,0.69,0.69 TON Ref#GAYDEMZYGE======
7941,2024-11-12 16:07:26,EQCU8S6Rtc2jfiOFu9r-GCuo4gCEXcYtoJ80smj9n_qojXr_,3.46,3.46 TON Ref#GAYDEMZXG4======
7938,2024-11-12 16:07:31,EQAGRO6ht0XlMh9wXSD8ZQK1T0SCzl8bmh_958y8EXQONPWw,3.04,3.04 TON Ref#GAYDEMZYGQ======
7940,2024-11-12 16:07:33,EQByfZj517neLIIsjEAFQmIAiDEDKCue_hVs053-8EU2lgkO,2.97,2.97 TON Ref#GAYDEMZZGQ======
7937,2024-11-12 16:07:36,EQCOHifqrz1RUqH6Yd3Ov2WLOOMJpzW4VpaQB4UdZok1dXCI,3.24,3.24 TON Ref#GAYDENBRHA======
7939,2024-11-12 16:07:36,EQBmxXHGZwCQqTrYzHfYEXFcmdTnlkM656w1wnyni2ia0Qyc,1.63,1.63 TON Ref#GAYDENBUGA======
7934,2024-11-12 16:07:38,EQCxNLZ8bN8OsIbUbYNhSFk0FisBdCmV8pgfixOWGvgnY_DG,4.12,4.12 TON Ref#GAYDENBQGE======
7933,2024-11-12 16:07:38,EQC8Y9eOzNVIklUUwUq7LNs99tVMlVjDQkCUO8TxeDpgvlv1,1.55,1.55 TON Ref#GAYDENBUGQ======
7936,2024-11-12 16:07:45,EQBMQbudF--pZtc7wDiDZ7_eCkGxuEQ6xA3lGdrRqVyBx9wH,3.99,3.99 TON Ref#GAYDENBWGY======
7935,2024-11-12 16:07:45,EQBYRVTpv2Iw5rXfE-JXs5KNMsV6OV-vsOhdTgxUPr9IjD3R,3.82,3.82 TON Ref#GAYDENBWGA======
7930,2024-11-12 16:07:46,EQC4EFFOVNoZZOJ_Iouo2SnYGlOF9VFL6fLh5EKR7nx5nFv-,3.87,3.87 TON Ref#GAYDENBUGI======
7929,2024-11-12 16:07:47,EQDh3J31NkdIeUbjKffTac6UeXqPVg4QDwIiyx521kANmp9Y,2.51,2.51 TON Ref#GAYDENBVGA======
7932,2024-11-12 16:07:48,EQBMKn2ZzLdsELCng2av-n3ew6w7oY4uq2za4EoR58G3RTyI,2.83,2.83 TON Ref#GAYDEMZWHA======
7928,2024-11-12 16:07:51,EQCjQho6YZwYzTjZlwn-nlHHUCUhVwTzC1RgVZklC9tNuB1D,3.03,3.03 TON Ref#GAYDENBXHA======
7931,2024-11-12 16:07:52,EQBdIsuFGyQGNX8wvWbv1mX1fj__JWfjcR8FH8l9XvkH9dy7,3.67,3.67 TON Ref#GAYDEMZXGE======
7927,2024-11-12 16:07:55,EQDL0VRqa-eTpASVZDhoPXuw3TH5NWNUcSzIyXXDkEgXkLPu,1.03,1.03 TON Ref#GAYDENJRGA======
7925,2024-11-12 16:08:01,EQDM4I7CddvpvWtmSdcsOFDhO7gYomy2ZU1cagOZjGV6h9wJ,0.45,0.45 TON Ref#GAYDENJRGU======
