Unnamed: 0,date,from,value,comment
0,2024-11-13 15:01:52,EQD2lc-CXkMP9RG06mtUKUts-VjBUHnIkYl1x0dNJnQ27Sca,1.0,1 TON Ref#GAZTGMJXGQ======
1,2024-11-13 15:01:54,EQB8xqp3Ukh1cInoEV-xSdhAGZRWmzsjxYU7Z5yEwaOkxN5O,1.0,1 TON Ref#GAZTGMJXGU======
2,2024-11-13 15:01:44,EQDtBjlW01IbDEqNejhjsRLuHL4r1iZTtuU_6FIxnD980_vp,1.0,1 TON Ref#GAZTGMJXGI======
3,2024-11-13 15:01:19,EQAQz1XpVl0imDK_isJFAas-Lch1wVV69uVNMwG2tUHqiqzF,1.0,1 TON Ref#GAZTGMJWHA======
4,2024-11-13 15:01:19,EQAbIWOfTSg0x9LIrL4tbdmbFpW0frresmgPn0Qla3Zn9Vks,1.0,1 TON Ref#GAZTGMJWG4======
5,2024-11-13 15:01:19,EQB1ovt8Qaryg-1vtA0VTWT7VczDhdavw0S5MfhWHB6R0JVf,1.0,1 TON Ref#GAZTGMJWHE======
6,2024-11-13 15:01:08,EQC4oC8_OsiWURxHQBCpY9JXypskJ43ZtCRnfS1TI8jPXRvQ,1.0,1 TON Ref#GAZTGMJWGY======
7,2024-11-13 15:01:06,EQC0uvwZfcXvu6W6--scs--8CVtnjapdWVXPZLknoL27CpY8,1.0,1 TON Ref#GAZTGMJWGQ======
8,2024-11-13 15:01:11,EQB2nx9s2SloElZ93NfK2420V95ethxCgxiuZfS7G1yAON5u,1.0,1 TON Ref#GAZTGMJWGU======
9,2024-11-13 15:00:56,EQCCicYO5ohZKu3ecUSuZNdqnyS7byNjVlBGod4we6AZnND-,1.0,1 TON Ref#GAZTGMJWGE======
10,2024-11-13 15:00:53,EQCL8ZB4sG6LD7E55WKiJfhDY17CS5b22RhFkifWtoEzdo-B,1.0,1 TON Ref#GAZTGMJWGI======
11,2024-11-13 15:00:42,EQBf9foOVCuLqSm4nrzaNDPph3G6VMhrYvGrz44WcHvdCjzQ,1.0,1 TON Ref#GAZTGMJVHE======
12,2024-11-13 15:00:32,EQCy5nzEZbOgNnMcqgjD6uCrBo-i6s4UpP-z3ebwjMVKEZPs,1.0,1 TON Ref#GAZTGMJVHA======
13,2024-11-13 15:00:28,EQB8xqp3Ukh1cInoEV-xSdhAGZRWmzsjxYU7Z5yEwaOkxN5O,1.0,1 TON Ref#GAZTGMJVG4======
14,2024-11-13 15:00:17,EQA_eIUHYJ6oEq0GHnSzAcucqLE3YfpEC-Yu8V6nnRiWFaZZ,1.0,1 TON Ref#GAZTGMJVGY======
15,2024-11-13 15:00:17,EQDtBjlW01IbDEqNejhjsRLuHL4r1iZTtuU_6FIxnD980_vp,1.0,1 TON Ref#GAZTGMJVGU======
16,2024-11-13 15:00:20,EQB4-scgJwlvyc_ZpYFIVcrS1VcEuq7itMpFLjN8YI6NqW6i,1.0,1 TON Ref#GAZTGMJVGQ======
17,2024-11-13 14:59:40,EQACu32JsBBqKMhcqrJlic7N89YFfrmUECQ52WYLRFGoBLUM,1.0,1 TON Ref#GAZTGMJVGA======
18,2024-11-13 14:59:34,EQAXpG1fLVRj2pRNiVv00HRRc5_Nw3IxjGu4UXBu4AxVD4b5,2.47,2.47 TON Ref#GAZTGMJVGE======
19,2024-11-13 14:59:40,EQB4buVsvHF5WNFxCw3OiFvO2bZNGSSdodNg2lMMqJmnyyZd,1.0,1 TON Ref#GAZTGMJVGM======
20,2024-11-13 14:59:08,EQC27dLG9nxGhDt-6cErgQLy2Cf7TrcHOK1VSxUFesk4qWe4,3.56,3.56 TON Ref#GAZTGMJUHA======
21,2024-11-13 14:59:07,EQB8xqp3Ukh1cInoEV-xSdhAGZRWmzsjxYU7Z5yEwaOkxN5O,1.0,1 TON Ref#GAZTGMJUG4======
22,2024-11-13 14:58:53,EQAWdDeC4wB6AnTf9W8b9vREHFVb38zN9fBq3OGc-UKeU_CD,1.0,1 TON Ref#GAZTGMJUGU======
23,2024-11-13 14:58:48,EQAQGmNVEc0xTfigG4b6n6OEP3sEXEhskzYILW-e2zfSZcno,1.0,1 TON Ref#GAZTGMJUGM======
24,2024-11-13 14:58:45,EQAbIWOfTSg0x9LIrL4tbdmbFpW0frresmgPn0Qla3Zn9Vks,1.0,1 TON Ref#GAZTGMJUGI======
25,2024-11-13 14:58:42,EQA0YI4XhwW6wkb9_18D-Ib8RY70tYTA3-6-wk0wnI0bvvL0,1.0,1 TON Ref#GAZTGMJUGE======
26,2024-11-13 14:58:45,EQB4buVsvHF5WNFxCw3OiFvO2bZNGSSdodNg2lMMqJmnyyZd,1.0,1 TON Ref#GAZTGMJUGQ======
27,2024-11-13 14:58:34,EQD-_PQLubU7AqUS9uk8tSEGdJhSNnXpcX6HVSFIFd7maku6,1.0,1 TON Ref#GAZTGMJTHE======
28,2024-11-13 14:58:36,EQB82ClryBK-D1jh8QHdMoKFfzJnpuenIGZAjxOuafw7zDMg,1.0,1 TON Ref#GAZTGMJUGA======
29,2024-11-13 14:58:23,EQCy5nzEZbOgNnMcqgjD6uCrBo-i6s4UpP-z3ebwjMVKEZPs,1.0,1 TON Ref#GAZTGMJTHA======
30,2024-11-13 14:58:23,EQA8hdWYkYmyanwgQl5DVAaMdYjS0fi1ZYPlfhf7PBHebhi9,1.0,1 TON Ref#GAZTGMJTGY======
31,2024-11-13 14:57:51,EQAt-AACNXSA3W5WAUFaKIAWZkmdQpQTc6VwhUqjwUP9beVL,1.0,1 TON Ref#GAZTGMJTGQ======
32,2024-11-13 14:57:48,EQCjAIxkdpHRxQpGe77SQyEAcQ90ZbCpzhjHmboRvgRVwjHH,1.0,1 TON Ref#GAZTGMJTGU======
33,2024-11-13 14:57:36,EQDLpDE_PonsxNrRxxL8VP4I1_-KskknaHzblCNIvsKg8ehg,1.0,1 TON Ref#GAZTGMJSHE======
34,2024-11-13 14:57:31,EQDOtRuQ0BMqyW72gQyYynP_2Wm8rLPfkvtOUuE9cZKGsLLx,5.0,5 TON Ref#GAZTGMJSGQ======
35,2024-11-13 14:57:26,EQCshTfQ77eMxKnXrMcXsNulQpezrNplxnjqJMFgi8lVX9wY,1.0,1 TON Ref#GAZTGMJSHA======
36,2024-11-13 14:57:25,EQD559lC-9xLL6Rx-WI0ejv5cGRH9UiWLlNKhEF_N4eGirDE,1.0,1 TON Ref#GAZTGMJTGA======
37,2024-11-13 14:57:30,EQB4buVsvHF5WNFxCw3OiFvO2bZNGSSdodNg2lMMqJmnyyZd,1.0,1 TON Ref#GAZTGMJTGI======
38,2024-11-13 14:57:23,EQB82ClryBK-D1jh8QHdMoKFfzJnpuenIGZAjxOuafw7zDMg,1.0,1 TON Ref#GAZTGMJSGY======
39,2024-11-13 14:57:06,EQCy5nzEZbOgNnMcqgjD6uCrBo-i6s4UpP-z3ebwjMVKEZPs,1.0,1 TON Ref#GAZTGMJSGE======
40,2024-11-13 14:56:36,EQCshTfQ77eMxKnXrMcXsNulQpezrNplxnjqJMFgi8lVX9wY,1.0,1 TON Ref#GAZTGMJRG4======
41,2024-11-13 14:56:38,EQAHsVt1vXibldjRjloc-_9Pb2-ZBXz2LQVq5nsozRpbKSTs,1.0,1 TON Ref#GAZTGMJRHA======
42,2024-11-13 14:56:37,EQB82ClryBK-D1jh8QHdMoKFfzJnpuenIGZAjxOuafw7zDMg,1.0,1 TON Ref#GAZTGMJRHE======
43,2024-11-13 14:55:58,EQA8hdWYkYmyanwgQl5DVAaMdYjS0fi1ZYPlfhf7PBHebhi9,1.95,1.95 TON Ref#GAZTGMJQGU======
44,2024-11-13 14:55:58,EQAamwILYfmf2tfgYhLaHIFKXZ19hy6yRQFeeMK6YNRcDMVg,4.26,4.26 TON Ref#GAZTGMJRGM======
45,2024-11-13 14:55:58,EQA0YI4XhwW6wkb9_18D-Ib8RY70tYTA3-6-wk0wnI0bvvL0,4.7,4.7 TON Ref#GAZTGMJQG4======
46,2024-11-13 14:55:58,EQB4buVsvHF5WNFxCw3OiFvO2bZNGSSdodNg2lMMqJmnyyZd,1.0,1 TON Ref#GAZTGMJRGE======
47,2024-11-13 14:55:58,EQBW_nlr-tv9W1sobo5iViK2tpSv1iF_GsxV0LQYfSJij7-3,1.0,1 TON Ref#GAZTGMJRGQ======
48,2024-11-13 14:55:40,EQCpJ-N7qQRy3GHnCl9ddYItEK9qu0I6RaZKGNktDs5XE8EN,3.43,3.43 TON Ref#GAZTGMJQHA======
49,2024-11-13 14:55:43,EQDNb-q6-0zMsKkKX5nh258LyMh44DpNoSp7ni1aXO46-QeH,1.61,1.61 TON Ref#GAZTGMJQGY======
50,2024-11-13 14:55:40,EQD559lC-9xLL6Rx-WI0ejv5cGRH9UiWLlNKhEF_N4eGirDE,1.0,1 TON Ref#GAZTGMJRGA======
51,2024-11-13 14:55:45,EQBeHWb_yeZZXdYbocI1aED3cDQbZXUKc4i0JYGLW_tO6w5A,3.27,3.27 TON Ref#GAZTGMJRGI======
52,2024-11-13 14:55:37,EQCshTfQ77eMxKnXrMcXsNulQpezrNplxnjqJMFgi8lVX9wY,1.0,1 TON Ref#GAZTGMJQHE======
53,2024-11-13 14:55:22,EQAveLkYzKEosSQESsutXVpgTf5vavBkExbh5NzlbsOu_4mw,1.0,1 TON Ref#GAZTGMJQGQ======
54,2024-11-13 14:55:28,EQBMKn2ZzLdsELCng2av-n3ew6w7oY4uq2za4EoR58G3RTyI,1.0,1 TON Ref#GAZTGMJQGM======
55,2024-11-13 14:55:01,EQC1IDgDHXBfP7niP0d6tHezOLHLb6biXlC7Q21wlwFlUEW-,1.0,1 TON Ref#GAZTGMJQGA======
56,2024-11-13 14:54:57,EQD8usJamu1yPSjhHVo0uCLn1NIFWC1VpaXysxMPq5Xdw78J,4.32,4.32 TON Ref#GAZTGMBZHE======
57,2024-11-13 14:54:55,EQCy5nzEZbOgNnMcqgjD6uCrBo-i6s4UpP-z3ebwjMVKEZPs,1.0,1 TON Ref#GAZTGMBZHA======
58,2024-11-13 14:54:44,EQAWdDeC4wB6AnTf9W8b9vREHFVb38zN9fBq3OGc-UKeU_CD,1.0,1 TON Ref#GAZTGMBZG4======
59,2024-11-13 14:54:33,EQBW_nlr-tv9W1sobo5iViK2tpSv1iF_GsxV0LQYfSJij7-3,1.0,1 TON Ref#GAZTGMBZGQ======
60,2024-11-13 14:54:22,EQCshTfQ77eMxKnXrMcXsNulQpezrNplxnjqJMFgi8lVX9wY,1.0,1 TON Ref#GAZTGMBZGI======
