date,from,value,comment,woofs
2024-11-13 20:02:06,EQCBm2yFsjSwwhno_XJMBCYAFnWtWLtJZb5N7uSd3-mQs-Yz,5.0,5 TON Ref#GAZTGNJZGU======,1.0
2024-11-13 20:02:07,EQDaoY-7XpnPpTxLLM56oyLQ0agBcthnS9nsBVVsa_pfs95G,5.0,5 TON Ref#GAZTGNJZGQ======,1.0
2024-11-13 20:02:13,EQAkZ9fwLHNOz_PG8oJ0vz9GjfWkkQkax6r5x5_hZwav7eUQ,3.09,3.09 TON Ref#GAZTGNJZGY======,12910.0
2024-11-13 20:02:14,EQDWjza1JT4t75-ifa8HJmBurv6ECrL33srSaJ3GFmSAxV40,2.5,2.5 TON Ref#GAZTGNRQGA======,32457.5
2024-11-13 20:02:21,EQDS_uggUBBP1HOSezwYLL2_gKUppJF8LBFZ9BMpOZ76FrlT,5.0,5 TON Ref#GAZTGNRQGI======,1.0
2024-11-13 20:02:23,EQCRxSB-7nsKnup32uV0u8NpIPCgP671UyzIvw2Qgt6A_Ryh,4.95,4.95 TON Ref#GAZTGNRQGE======,4.0
2024-11-13 20:02:28,EQD90sKzMq-7PuqLWlf5iN4E-jPRaHWg7YQXL6M9TYymfp-z,2.51,2.51 TON Ref#GAZTGNRQGU======,31956.0
2024-11-13 20:02:28,EQAGRO6ht0XlMh9wXSD8ZQK1T0SCzl8bmh_958y8EXQONPWw,3.0,3 TON Ref#GAZTGNRQGY======,14797.0
2024-11-13 20:02:39,EQAlH2530k1cYxEcNcobuc_FWNurHvSwGnLNJLgpu2MwT0AP,5.0,5 TON Ref#GAZTGNRRGE======,1.0
2024-11-13 20:02:41,EQBG0Kz2rBRBW_YdYAykU9-a_JGdfrnENoS2SoyJvO2n5jCc,1.78,1.78 TON Ref#GAZTGNRRGI======,101412.8
2024-11-13 20:02:47,EQBmSrsbvXBkvENiEB7OPI3VmSe42ejpt7XpV2bIIuydzBHg,2.97,2.97 TON Ref#GAZTGNRRGM======,15445.0
2024-11-13 20:02:50,EQBoLT_m8b2uby-ZHgXeaEtHS4dP0cKpCpFG5fa4OlKklCol,2.59,2.59 TON Ref#GAZTGNRRGU======,28211.5
2024-11-13 20:02:57,EQAR37_wHFG2cMuevinXQmaOeNfgI0Y7KlBP5pcsisUw0KXe,5.0,5 TON Ref#GAZTGNRRG4======,1.0
