date,from,value,comment
2024-11-14 15:55:02,EQAuyiyfAZbepqE6gRYRQ6JTZZnIRUha3NoLBmxsUL1NUL8Y,1.0,1 TON Ref#GA2TEMBVHA======
2024-11-14 15:54:55,EQDnKYfakPWDr5P2MUfbrqZCloRaa7zzqm_CsXE-_5kXCMtP,1.0,1 TON Ref#GA2TEMBVGY======
2024-11-14 15:54:52,EQA9bnJDJhTLCcOM07_ee-FlmpAOfKouBPTnWFOvwDYcoXOH,1.0,1 TON Ref#GA2TEMBVG4======
2024-11-14 15:54:46,EQDeSv2ZEEBwlhSjs5Ywd8U7CZOMNOgBgQXsx8XOL4LhGRbS,1.0,1 TON Ref#GA2TEMBVGM======
2024-11-14 15:54:42,EQCqjcCXft2dLyHXLTi0eSS5tR46Ew03sAPRhtAPLY2jIYzw,1.0,1 TON Ref#GA2TEMBVGI======
2024-11-14 15:54:49,EQBRxV3lPu30rh1TNATzyWJ80Cv8gklCymdmT2BZ3_tWJjgd,1.0,1 TON Ref#GA2TEMBVGU======
2024-11-14 15:54:42,EQB2JeRuJry3S0MNccscv07V1X_Q-TnxpX7nZaDmRZAGWhhw,1.0,1 TON Ref#GA2TEMBVGE======
2024-11-14 15:54:27,EQDbBYHa6ngDXN6AGSFhsPcPzKDiS5U3vi1u451mE3mrj0N0,1.0,1 TON Ref#GA2TEMBUG4======
2024-11-14 15:54:33,EQBvk-q7urtzPSkSgyPnTrLzKyuC2Tq0lXmplHhaFcaTHWb3,1.0,1 TON Ref#GA2TEMBUHE======
2024-11-14 15:54:24,EQC1IDgDHXBfP7niP0d6tHezOLHLb6biXlC7Q21wlwFlUEW-,1.0,1 TON Ref#GA2TEMBUGY======
2024-11-14 15:54:30,EQBlv7EBjOvDfEsf1TSp3jvJUVDemrZ6pxPIWfpVJ4DoMC_F,1.0,1 TON Ref#GA2TEMBUGU======
2024-11-14 15:54:23,EQBW9KRp_DNV1HpReJYTTHkoWtst0fj5LdoIjbv5LOTu1zsP,1.0,1 TON Ref#GA2TEMBUGQ======
2024-11-14 15:54:14,EQAidutyLcXrvJywILDlDZdTGAHliqoA9zsFjWeDL3ASkFOU,1.0,1 TON Ref#GA2TEMBUGE======
2024-11-14 15:54:12,EQCs2_ya9GFCTbhA7tNA53g_3erqFtL-_crG3eQvvS07hE3b,1.0,1 TON Ref#GA2TEMBUGI======
2024-11-14 15:54:02,EQAQ59WGumnlq2SqUMtp8JwLcgwlBnRaEcw4VqCKRnfdcEWi,1.0,1 TON Ref#GA2TEMBTGI======
2024-11-14 15:54:01,EQDLjWDCKNcpsuS1-Ub_bCbH24DAkbAHKqAwwOVpX_LK1P4s,1.0,1 TON Ref#GA2TEMBTGY======
2024-11-14 15:53:59,EQAGNvRcaKngiUfdPoYe6Mvy7Sw6i_DAkt__b2oAUBf-UrYA,1.0,1 TON Ref#GA2TEMBTGQ======
2024-11-14 15:53:55,EQCCh2RDlvj3YMLBzTUnsxQPjGHlHsqyiB1ON71KyC4KvprF,1.0,1 TON Ref#GA2TEMBTGU======
2024-11-14 15:53:59,EQBMsQRobUowEPFGOmjzsTqnozVZsSjcGgNeBK38YFPyZVSA,5.0,5 TON Ref#GA2TEMBUGA======
2024-11-14 15:53:50,EQApPG_RtuWEAUOJe3za23KMud91d_BnOUrOU6PhRwYxAg0t,1.0,1 TON Ref#GA2TEMBTG4======
2024-11-14 15:53:48,EQDzLp9ilsMpIySkFONIqfLCf5T9x8yz0Una5qRkAYRiOAM1,1.0,1 TON Ref#GA2TEMBTGM======
2024-11-14 15:53:36,EQDbBYHa6ngDXN6AGSFhsPcPzKDiS5U3vi1u451mE3mrj0N0,1.0,1 TON Ref#GA2TEMBSG4======
2024-11-14 15:53:36,EQDSzex47vC8nvdizzvTLBLdFKvhcqiR21ZeR6erWB-8S57W,1.0,1 TON Ref#GA2TEMBSGQ======
2024-11-14 15:53:33,EQCs2_ya9GFCTbhA7tNA53g_3erqFtL-_crG3eQvvS07hE3b,1.0,1 TON Ref#GA2TEMBSHE======
2024-11-14 15:53:28,EQA9bnJDJhTLCcOM07_ee-FlmpAOfKouBPTnWFOvwDYcoXOH,1.0,1 TON Ref#GA2TEMBSGY======
2024-11-14 15:53:28,EQDOe8mXdNrzs02cz-eOhY4WRG6RzXcG6_xWLuxYGvvvXmb4,1.0,1 TON Ref#GA2TEMBSGA======
2024-11-14 15:53:27,EQCwMimZsI_7lvXFB9XteSQHzypvpz1AcM3YqY59o5PvUw9h,1.0,1 TON Ref#GA2TEMBSGU======
2024-11-14 15:53:25,EQAoBElX4bPOgUOlg5-9EMv-KgW281fDnfI3f0LXxKX2H1E2,1.0,1 TON Ref#GA2TEMBSGM======
2024-11-14 15:53:25,EQARuJud7WwpdL4ZJUJ--81n3espXG_XvVSOIrG68g2nl1em,1.0,1 TON Ref#GA2TEMBSGI======
2024-11-14 15:53:24,EQCqjcCXft2dLyHXLTi0eSS5tR46Ew03sAPRhtAPLY2jIYzw,1.0,1 TON Ref#GA2TEMBSGE======
2024-11-14 15:53:22,EQC5e4HCeL523sbt4lj-xVN6wflSX73pf0_gXfYliDKsACg0,1.0,1 TON Ref#GA2TEMBRHE======
2024-11-14 15:53:17,EQDTf1r6vfURzVlEtikOn0lafHqmnAuwyp_PAZlj5tWp1DRw,1.0,1 TON Ref#GA2TEMBRHA======
2024-11-14 15:53:10,EQAf7oRT6MX826Et_WlNf3HOWBiHfOf54v78pV26VrtbTrRu,1.0,1 TON Ref#GA2TEMBRGY======
2024-11-14 15:52:52,EQDeSv2ZEEBwlhSjs5Ywd8U7CZOMNOgBgQXsx8XOL4LhGRbS,1.0,1 TON Ref#GA2TEMBRGE======
2024-11-14 15:52:53,EQBRxV3lPu30rh1TNATzyWJ80Cv8gklCymdmT2BZ3_tWJjgd,1.0,1 TON Ref#GA2TEMBRGM======
2024-11-14 15:52:43,EQC1IDgDHXBfP7niP0d6tHezOLHLb6biXlC7Q21wlwFlUEW-,1.0,1 TON Ref#GA2TEMBRGA======
2024-11-14 15:52:49,EQBvpp_ZjDy6gCUTUgHScOqexIqLY2tuovv-uV8AlAxqc2o4,1.0,1 TON Ref#GA2TEMBRGI======
2024-11-14 15:52:39,EQCqjcCXft2dLyHXLTi0eSS5tR46Ew03sAPRhtAPLY2jIYzw,1.0,1 TON Ref#GA2TEMBQHE======
2024-11-14 15:52:27,EQD7iJHIXnuOq1ssZpZ2hX2xV08ED5gnEXwbhKM-TVuqeczN,1.0,1 TON Ref#GA2TEMBQG4======
2024-11-14 15:52:24,EQDBhlNOlmpj3TsR-KOfoO_kSAgbZrtD023fROh72vBuY2t5,1.0,1 TON Ref#GA2TEMBQGU======
2024-11-14 15:52:22,EQApPG_RtuWEAUOJe3za23KMud91d_BnOUrOU6PhRwYxAg0t,1.0,1 TON Ref#GA2TEMBQGY======
