date,from,value,comment,lt
2024-11-17 15:24:23,EQBCZKyZOYpbOKm6NdDYmJ6y5S_AOM-NbFIoY5Z8SM-0IkHZ,1.0,1 TON Ref#GA4TIOBRHE======,50980130000003
2024-11-17 15:24:01,EQAPeMKfchygO6FOCputH_rImQREiPaCjdGRiGLmyNIATgqe,1.0,1 TON Ref#GA4TIOBRHA======,50980125000001
2024-11-17 15:22:59,EQA2Vyyv7e2HSmjq9Mii1rSKagdTv6o5o7cYE_QqLEUaFGwJ,1.0,1 TON Ref#GA4TIOBRGY======,50980102000002
2024-11-17 15:23:00,EQCaYwL22osxYlswkTjhnlP6N0EGvjBVSkbh5SWVYb0nbBv8,1.0,1 TON Ref#GA4TIOBRG4======,50980102000001
2024-11-17 15:22:53,EQCSYSREP-CDbY0d1frx-1GdU-dGAh5o12iz12jHhmx_6ZUt,1.0,1 TON Ref#GA4TIOBRGU======,50980100000001
2024-11-17 15:22:50,EQBnAKENTcC54BeyJcByzbygERPgjtA1Wmhgl1dOZS15EbPr,1.0,1 TON Ref#GA4TIOBRGI======,50980096000003
2024-11-17 15:22:35,EQBkSgdHAOYVuAMyKzIvnk_1fty6fkdoFu_N3EAQCBLnVFhV,1.0,1 TON Ref#GA4TIOBRGM======,50980090000003
2024-11-17 15:22:25,EQAkZ9fwLHNOz_PG8oJ0vz9GjfWkkQkax6r5x5_hZwav7eUQ,1.0,1 TON Ref#GA4TIOBRGE======,50980089000001
2024-11-17 15:21:51,EQC_JMNDjJEloh8MMKR-XZKaWGaeT_ezT5SW8SwOT-Af2zEb,1.0,1 TON Ref#GA4TIOBRGA======,50980078000001
2024-11-17 15:21:29,EQBkMDb5A3xpqwWn9_XyvaF_PaSjyIREMDS-ntYqqtjMaAvj,1.0,1 TON Ref#GA4TIOBQHE======,50980066000003
2024-11-17 15:21:23,EQBkSgdHAOYVuAMyKzIvnk_1fty6fkdoFu_N3EAQCBLnVFhV,1.0,1 TON Ref#GA4TIOBQHA======,50980063000003
2024-11-17 15:20:57,EQA2Vyyv7e2HSmjq9Mii1rSKagdTv6o5o7cYE_QqLEUaFGwJ,1.0,1 TON Ref#GA4TIOBQG4======,50980056000001
2024-11-17 15:20:47,EQAIQgyk70BkOu4A1iQ61LC5BgQh9YqiG6Ds9-hcq4xinvck,1.0,1 TON Ref#GA4TIOBQGY======,50980053000001
2024-11-17 15:20:00,EQDsdUsi7yjKftCx30ijoXpjzmySpxwf6xp_1weCq7FDoA7o,1.0,1 TON Ref#GA4TIOBQGQ======,50980035000001
2024-11-17 15:19:37,EQDd8ztcapKDE2lOrbFS9wpX5srQ6_2HZfStF54DjFYStyj-,1.0,1 TON Ref#GA4TIOBQGM======,50980027000001
2024-11-17 15:18:46,EQDf0DGdVb0lpJ436GiXR0yeNZduG5yvs58BGXXUROsNmdbF,1.0,1 TON Ref#GA4TIOBQGA======,50980011000001
2024-11-17 15:18:43,EQCspx5IJ7uvXdUUGWqtWe00vK5QOjySheQ8uJcKWJUvMW1S,1.0,1 TON Ref#GA4TINZZG4======,50980009000001
2024-11-17 15:18:37,EQAwUfVjSFHrlpQ1ApUM68nGOELWoDMZ5bANjFax1ounuCaf,1.0,1 TON Ref#GA4TINZZHE======,50980006000001
2024-11-17 15:17:48,EQC7ZKSzBBLlu2NlMavqltWyLeJsQLqNe4r6QlUWa-AR1Yqb,1.0,1 TON Ref#GA4TINZZGY======,50979988000001
